Dates,Days Since Tenth,Cumulative Total,Real Total,Proportions,Cumulative Proportions,Week Number,Week,Weekly Total,Weekly Proportions,
3/19/2020,0,19,19,0.00002482657332,0.00002482657332,1,1,30.85714286,0.0000403198484,
3/20/2020,1,26,26,0.00003337775142,0.00003397320559,,2,99.71428571,0.0001302928434,
3/21/2020,2,28,28,0.00003594527076,0.0000365865291,,3,202.7142857,0.0002648790041,
3/22/2020,3,30,30,0.0000385127901,0.00003919985261,,4,1930,0.002521857184,
3/23/2020,4,32,32,0.00004108030944,0.00004181317612,,5,2722,0.003556733293,
3/24/2020,5,36,36,0.00004621534812,0.00004703982313,,6,4543,0.005936164347,
3/25/2020,6,45,45,0.00005776918515,0.00005879977891,,7,6022,0.00786871708,
3/26/2020,7,58,58,0.00007445806086,0.00007578638171,2,8,6639,0.008674927382,
3/27/2020,8,68,68,0.00008729565755,0.00008885299925,,9,7745,0.01012009528,
3/28/2020,9,93,93,0.0001193896493,0.0001215195431,,10,7759,0.01013838855,
3/29/2020,10,97,97,0.000124524688,0.0001267461901,,11,7255,0.009479831023,
3/30/2020,11,109,109,0.000139929804,0.0001424261311,,12,6159,0.008047729741,
3/31/2020,12,126,126,0.0001617537184,0.000164639381,,13,4867,0.006359522755,
4/1/2020,13,147,147,0.0001887126715,0.0001920792778,,14,4681,0.006116483669,
4/2/2020,14,159,159,0.0002041177875,0.0002077592188,3,15,4436,0.005796351539,
4/3/2020,15,173,173,0.0002220904229,0.0002260524834,,16,6290,0.00821890243,
4/4/2020,16,186,186,0.0002387792986,0.0002430390862,,17,7093,0.009268151818,
4/5/2020,17,207,207,0.0002657382517,0.000270478983,,18,1210,0.001581060722,
4/6/2020,18,225,225,0.0002888459257,0.0002939988946,,,,,
4/7/2020,19,237,237,0.0003042510418,0.0003096788356,,,,,
4/8/2020,20,251,232,0.0002978322434,0.0003279721002,,,,,
4/9/2020,21,269,243,0.0003119535998,0.0003514920117,4,,,,
